District,Station,x,y,longitude,latitude,date,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle, Stealing Total, Property Damage Total, Arson Total,Drug Offences Total,Regulated Weapons Offences
Armadale,Canning Vale,115.9368138,-32.06286601,115.9368138,-32.06286601,1/12/2013,1,125,95,77,502,242,12,88,15
Armadale,Gosnells,116.0034899,-32.07342991,116.0034899,-32.07342991,1/12/2013,1,125,95,77,502,242,12,88,15
Armadale,Mundijong,115.9799239,-32.29805247,115.9799239,-32.29805247,1/12/2013,1,125,95,77,502,242,12,88,15
Armadale,Armadale,116.0172929,-32.15147671,115.9368138,-32.06286601,1/12/2014,0,161,77,57,569,232,14,197,35
Armadale,Canning Vale,115.9368138,-32.06286601,115.9368138,-32.06286601,1/12/2014,0,161,77,57,569,232,14,197,35
Armadale,Gosnells,116.0034899,-32.07342991,116.0034899,-32.07342991,1/12/2014,0,161,77,57,569,232,14,197,35
Armadale,Mundijong,115.9799239,-32.29805247,115.9799239,-32.29805247,1/12/2014,0,161,77,57,569,232,14,197,35
Armadale,Armadale,116.0172929,-32.15147671,115.9368138,-32.06286601,1/12/2015,0,163,89,69,672,288,19,276,48
Armadale,Canning Vale,115.9368138,-32.06286601,115.9368138,-32.06286601,1/12/2015,0,163,89,69,672,288,19,276,48
Armadale,Gosnells,116.0034899,-32.07342991,116.0034899,-32.07342991,1/12/2015,0,163,89,69,672,288,19,276,48
Armadale,Mundijong,115.9799239,-32.29805247,115.9799239,-32.29805247,1/12/2015,0,163,89,69,672,288,19,276,48
Armadale,Armadale,116.0172929,-32.15147671,115.9368138,-32.06286601,1/12/2016,0,205,101,67,673,292,13,233,47
Armadale,Canning Vale,115.9368138,-32.06286601,115.9368138,-32.06286601,1/12/2016,0,205,101,67,673,292,13,233,47
Armadale,Gosnells,116.0034899,-32.07342991,116.0034899,-32.07342991,1/12/2016,0,205,101,67,673,292,13,233,47
Armadale,Mundijong,115.9799239,-32.29805247,115.9799239,-32.29805247,1/12/2016,0,205,101,67,673,292,13,233,47
Armadale,Armadale,116.0172929,-32.15147671,115.9368138,-32.06286601,1/12/2017,6,174,102,70,649,189,14,204,30
Armadale,Canning Vale,115.9368138,-32.06286601,115.9368138,-32.06286601,1/12/2017,6,174,102,70,649,189,14,204,30
Armadale,Gosnells,116.0034899,-32.07342991,116.0034899,-32.07342991,1/12/2017,6,174,102,70,649,189,14,204,30
Armadale,Mundijong,115.9799239,-32.29805247,115.9799239,-32.29805247,1/12/2017,6,174,102,70,649,189,14,204,30
Armadale,Armadale,116.0172929,-32.15147671,115.9368138,-32.06286601,1/12/2018,0,173,86,53,747,217,11,243,45
Armadale,Canning Vale,115.9368138,-32.06286601,115.9368138,-32.06286601,1/12/2018,0,173,86,53,747,217,11,243,45
Armadale,Gosnells,116.0034899,-32.07342991,116.0034899,-32.07342991,1/12/2018,0,173,86,53,747,217,11,243,45
Armadale,Mundijong,115.9799239,-32.29805247,115.9799239,-32.29805247,1/12/2018,0,173,86,53,747,217,11,243,45
Armadale,Armadale,116.0172929,-32.15147671,115.9368138,-32.06286601,1/12/2019,0,238,80,61,730,270,24,231,46
